"Hugo_Symbol"	"Frame_Shift_Del"	"Frame_Shift_Ins"	"In_Frame_Del"	"In_Frame_Ins"	"Missense_Mutation"	"Nonsense_Mutation"	"Nonstop_Mutation"	"Splice_Site"	"Translation_Start_Site"	"total"	"MutatedSamples"	"AlteredSamples"
"ANGPTL3"	0	0	0	0	1	0	0	0	0	1	1	1
"ANK2"	0	0	0	0	1	0	0	0	0	1	1	1
"ANKLE2"	0	0	0	0	1	0	0	0	0	1	1	1
"ANKRD11"	0	0	0	0	1	0	0	0	0	1	1	1
"ANKRD27"	0	0	0	0	1	0	0	0	0	1	1	1
"ANKRD33"	0	0	0	0	1	0	0	0	0	1	1	1
"ANKRD34C"	0	0	0	0	1	0	0	0	0	1	1	1
"ANKRD36C"	0	0	0	0	1	0	0	0	0	1	1	1
"ANKRD42"	0	0	0	0	1	0	0	0	0	1	1	1
"ANKRD7"	0	0	0	0	1	0	0	0	0	1	1	1
"ANO2"	0	0	0	0	1	0	0	0	0	1	1	1
"ANP32E"	0	0	0	0	1	0	0	0	0	1	1	1
"AOX1"	0	0	0	0	1	0	0	0	0	1	1	1
"AP2A2"	0	0	0	0	1	0	0	0	0	1	1	1
"AP3B2"	0	0	0	0	1	0	0	0	0	1	1	1
"AP4M1"	0	0	0	0	1	0	0	0	0	1	1	1
"AP5Z1"	0	0	0	0	1	0	0	0	0	1	1	1
"APBA1"	0	0	0	0	1	0	0	0	0	1	1	1
"APC2"	0	0	0	0	1	0	0	0	0	1	1	1
"APLP1"	0	0	0	0	1	0	0	0	0	1	1	1
"APMAP"	0	0	0	0	1	0	0	0	0	1	1	1
"APOC2"	0	0	0	0	1	0	0	0	0	1	1	1
"AQP3"	0	0	0	0	1	0	0	0	0	1	1	1
"AQR"	0	0	0	0	1	0	0	0	0	1	1	1
"AR"	0	0	0	0	1	0	0	0	0	1	1	1
"ARAF"	0	0	0	0	1	0	0	0	0	1	1	1
"ARAP1"	0	0	0	0	1	0	0	0	0	1	1	1
"ARC"	0	0	0	0	1	0	0	0	0	1	1	1
"ARF3"	0	0	0	0	1	0	0	0	0	1	1	1
"ARFGEF1"	0	0	0	0	1	0	0	0	0	1	1	1
"ARFIP2"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGAP18"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGAP25"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGAP28"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGAP39"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGAP42"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGAP5"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGEF1"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGEF11"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGEF16"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGEF2"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGEF40"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGEF6"	0	0	0	0	1	0	0	0	0	1	1	1
"ARHGEF7"	0	0	0	0	1	0	0	0	0	1	1	1
"ARIH1"	0	0	0	0	0	1	0	0	0	1	1	1
"ARL11"	0	0	0	0	1	0	0	0	0	1	1	1
"ARL6IP6"	0	0	0	0	1	0	0	0	0	1	1	1
"ARMC4"	0	0	0	0	1	0	0	0	0	1	1	1
"ARMC6"	0	0	0	0	1	0	0	0	0	1	1	1
"ARPIN"	0	0	0	0	1	0	0	0	0	1	1	1
"ARSE"	0	0	0	0	1	0	0	0	0	1	1	1
"ASB10"	0	0	0	0	1	0	0	0	0	1	1	1
"ASB16"	1	0	0	0	0	0	0	0	0	1	1	1
"ASB9"	0	0	0	0	1	0	0	0	0	1	1	1
"ASCL3"	0	0	0	0	1	0	0	0	0	1	1	1
"ASIC3"	0	0	0	0	1	0	0	0	0	1	1	1
"ASL"	0	0	0	0	1	0	0	0	0	1	1	1
"ASMTL"	0	0	0	0	1	0	0	0	0	1	1	1
"ASPG"	0	0	0	0	1	0	0	0	0	1	1	1
"ASUN"	0	0	0	0	1	0	0	0	0	1	1	1
"ASXL3"	0	0	0	0	1	0	0	0	0	1	1	1
"ATAD2B"	0	0	0	0	0	1	0	0	0	1	1	1
"ATAT1"	0	0	0	0	0	0	0	1	0	1	1	1
"ATF2"	0	0	0	0	1	0	0	0	0	1	1	1
"ATF4"	0	0	0	0	1	0	0	0	0	1	1	1
"ATL1"	0	0	0	0	1	0	0	0	0	1	1	1
"ATN1"	0	0	0	0	1	0	0	0	0	1	1	1
"ATP12A"	0	0	0	0	1	0	0	0	0	1	1	1
"ATP13A3"	0	0	0	0	1	0	0	0	0	1	1	1
"ATP1A4"	0	0	0	0	1	0	0	0	0	1	1	1
"ATP2B2"	0	0	0	0	0	1	0	0	0	1	1	1
"ATP2B3"	0	0	0	0	1	0	0	0	0	1	1	1
"ATP2B4"	0	0	0	0	1	0	0	0	0	1	1	1
"ATP2C1"	0	0	0	0	1	0	0	0	0	1	1	1
"ATP6V1B1"	0	0	0	0	1	0	0	0	0	1	1	1
"ATPIF1"	1	0	0	0	0	0	0	0	0	1	1	1
"ATRX"	0	0	0	0	1	0	0	0	0	1	1	1
"ATXN1"	0	0	0	0	1	0	0	0	0	1	1	1
"ATXN2"	0	0	0	0	1	0	0	0	0	1	1	1
"AUH"	0	0	0	0	1	0	0	0	0	1	1	1
"AVPI1"	0	0	0	0	1	0	0	0	0	1	1	1
"AXIN2"	0	0	0	0	1	0	0	0	0	1	1	1
"AZI2"	0	0	0	0	0	1	0	0	0	1	1	1
"B4GAT1"	0	0	0	0	1	0	0	0	0	1	1	1
"BACH2"	0	0	0	0	1	0	0	0	0	1	1	1
"BAG6"	0	0	0	0	1	0	0	0	0	1	1	1
"BARHL2"	0	0	0	0	1	0	0	0	0	1	1	1
"BATF2"	0	0	0	0	0	1	0	0	0	1	1	1
"BAZ2A"	0	0	0	0	1	0	0	0	0	1	1	1
"BCAS1"	0	0	0	0	1	0	0	0	0	1	1	1
"BCL7B"	0	0	0	0	1	0	0	0	0	1	1	1
"BDP1"	0	0	0	0	1	0	0	0	0	1	1	1
"BEND3"	0	0	0	0	1	0	0	0	0	1	1	1
"BEND7"	0	0	0	0	1	0	0	0	0	1	1	1
"BEST2"	0	0	0	0	1	0	0	0	0	1	1	1
"BIN2"	0	0	0	0	1	0	0	0	0	1	1	1
"BIRC2"	0	0	0	0	1	0	0	0	0	1	1	1
"BIRC3"	0	0	0	0	1	0	0	0	0	1	1	1
"BLM"	0	0	0	0	1	0	0	0	0	1	1	1
"BLOC1S1"	0	0	0	0	1	0	0	0	0	1	1	1
"BLZF1"	0	0	0	1	0	0	0	0	0	1	1	1
"BMP2K"	0	0	0	0	1	0	0	0	0	1	1	1
"BMPR2"	0	0	0	0	0	1	0	0	0	1	1	1
"BMS1"	0	0	0	0	1	0	0	0	0	1	1	1
"BPIFB3"	0	0	0	0	0	1	0	0	0	1	1	1
"BRAF"	0	0	0	0	1	0	0	0	0	1	1	1
"BRAP"	0	0	0	0	1	0	0	0	0	1	1	1
"BRCA2"	0	0	0	0	1	0	0	0	0	1	1	1
"BRICD5"	0	0	0	0	1	0	0	0	0	1	1	1
"BRMS1L"	0	0	0	0	1	0	0	0	0	1	1	1
"BSG"	0	0	0	0	1	0	0	0	0	1	1	1
"BSND"	0	0	0	0	1	0	0	0	0	1	1	1
"BSX"	0	0	0	0	1	0	0	0	0	1	1	1
"BTBD1"	0	0	0	0	1	0	0	0	0	1	1	1
"BTBD3"	0	0	0	0	0	1	0	0	0	1	1	1
"BTBD7"	0	0	0	0	1	0	0	0	0	1	1	1
"BTBD9"	0	0	0	0	1	0	0	0	0	1	1	1
"BTD"	0	0	0	0	1	0	0	0	0	1	1	1
"BTF3"	0	0	0	0	1	0	0	0	0	1	1	1
"BTN2A1"	0	0	0	0	1	0	0	0	0	1	1	1
"BUB1"	0	0	0	0	1	0	0	0	0	1	1	1
"BVES"	0	0	0	0	1	0	0	0	0	1	1	1
"C10orf71"	0	0	0	0	1	0	0	0	0	1	1	1
"C10orf88"	0	0	0	0	1	0	0	0	0	1	1	1
"C10orf99"	0	0	0	0	1	0	0	0	0	1	1	1
"C11orf30"	0	0	0	0	1	0	0	0	0	1	1	1
"C11orf45"	0	0	0	0	1	0	0	0	0	1	1	1
"C12orf56"	0	0	0	0	1	0	0	0	0	1	1	1
"C14orf1"	0	0	0	0	1	0	0	0	0	1	1	1
"C14orf37"	0	0	0	0	1	0	0	0	0	1	1	1
"C16orf62"	0	0	0	0	1	0	0	0	0	1	1	1
"C16orf70"	0	0	0	0	1	0	0	0	0	1	1	1
"C16orf71"	0	0	0	0	1	0	0	0	0	1	1	1
"C17orf104"	0	0	0	0	1	0	0	0	0	1	1	1
"C19orf70"	0	0	0	0	1	0	0	0	0	1	1	1
"C1orf106"	0	0	1	0	0	0	0	0	0	1	1	1
"C1orf127"	0	0	0	0	1	0	0	0	0	1	1	1
"C1orf141"	0	0	0	0	1	0	0	0	0	1	1	1
"C1orf198"	0	0	0	0	1	0	0	0	0	1	1	1
"C20orf195"	0	0	0	0	1	0	0	0	0	1	1	1
"C20orf96"	0	0	0	0	1	0	0	0	0	1	1	1
"C2CD5"	0	0	0	0	1	0	0	0	0	1	1	1
"C2orf16"	0	0	0	0	1	0	0	0	0	1	1	1
"C2orf61"	0	0	0	0	1	0	0	0	0	1	1	1
"C3orf30"	0	0	0	0	1	0	0	0	0	1	1	1
"C3orf38"	0	0	0	0	1	0	0	0	0	1	1	1
"C4BPA"	0	0	0	0	1	0	0	0	0	1	1	1
"C6orf120"	0	0	0	0	1	0	0	0	0	1	1	1
"C7orf31"	0	0	0	0	1	0	0	0	0	1	1	1
"C7orf55-LUC7L2"	0	0	0	0	1	0	0	0	0	1	1	1
"C7orf72"	1	0	0	0	0	0	0	0	0	1	1	1
"C9orf173"	0	0	0	0	1	0	0	0	0	1	1	1
"CA3"	0	0	0	0	1	0	0	0	0	1	1	1
"CA5A"	0	0	0	0	1	0	0	0	0	1	1	1
"CABIN1"	0	0	0	0	1	0	0	0	0	1	1	1
"CABYR"	0	0	0	0	1	0	0	0	0	1	1	1
"CACNA1D"	0	0	0	0	1	0	0	0	0	1	1	1
"CACNA1E"	0	0	0	0	1	0	0	0	0	1	1	1
"CACNA1F"	0	0	0	0	1	0	0	0	0	1	1	1
"CACNA1S"	0	0	0	0	1	0	0	0	0	1	1	1
"CACNA2D1"	0	0	0	0	1	0	0	0	0	1	1	1
"CACNB3"	0	0	0	0	1	0	0	0	0	1	1	1
"CACNG3"	0	0	0	0	1	0	0	0	0	1	1	1
"CADPS"	0	0	0	0	1	0	0	0	0	1	1	1
"CADPS2"	0	0	0	0	1	0	0	0	0	1	1	1
"CALCOCO1"	0	0	0	0	1	0	0	0	0	1	1	1
"CALCR"	0	0	0	0	1	0	0	0	0	1	1	1
"CAMK2D"	0	0	0	0	1	0	0	0	0	1	1	1
"CAMTA1"	0	0	0	0	1	0	0	0	0	1	1	1
"CAMTA2"	0	0	0	0	1	0	0	0	0	1	1	1
"CANT1"	0	0	0	0	1	0	0	0	0	1	1	1
"CAP2"	0	0	0	0	1	0	0	0	0	1	1	1
"CAPN11"	0	0	0	0	0	1	0	0	0	1	1	1
"CAPRIN2"	0	0	0	0	1	0	0	0	0	1	1	1
"CAPSL"	0	0	0	0	1	0	0	0	0	1	1	1
"CARD10"	0	0	0	0	1	0	0	0	0	1	1	1
"CARD11"	0	0	0	0	1	0	0	0	0	1	1	1
"CARHSP1"	0	0	0	0	1	0	0	0	0	1	1	1
"CASD1"	0	0	0	0	1	0	0	0	0	1	1	1
"CASP2"	0	0	0	0	1	0	0	0	0	1	1	1
"CASP8"	0	0	0	0	1	0	0	0	0	1	1	1
"CASP8AP2"	0	0	0	0	1	0	0	0	0	1	1	1
"CASQ1"	0	0	0	0	1	0	0	0	0	1	1	1
"CASQ2"	0	0	0	0	1	0	0	0	0	1	1	1
"CAST"	0	0	0	0	1	0	0	0	0	1	1	1
"CBR1"	0	0	0	0	1	0	0	0	0	1	1	1
"CCAR2"	0	0	0	0	1	0	0	0	0	1	1	1
"CCDC105"	0	0	0	0	1	0	0	0	0	1	1	1
"CCDC127"	0	0	0	0	1	0	0	0	0	1	1	1
"CCDC141"	0	0	0	0	1	0	0	0	0	1	1	1
"CCDC150"	0	0	0	0	1	0	0	0	0	1	1	1
"CCDC166"	0	0	0	0	0	1	0	0	0	1	1	1
"CCDC167"	0	0	0	0	1	0	0	0	0	1	1	1
"CCDC171"	0	0	0	0	1	0	0	0	0	1	1	1
"CCDC186"	0	0	0	0	1	0	0	0	0	1	1	1
"CCDC39"	0	0	0	0	1	0	0	0	0	1	1	1
"CCDC62"	0	0	0	0	1	0	0	0	0	1	1	1
"CCDC65"	0	0	0	0	1	0	0	0	0	1	1	1
"CCDC88A"	0	0	0	0	1	0	0	0	0	1	1	1
"CCDC91"	1	0	0	0	0	0	0	0	0	1	1	1
"CCER1"	0	0	0	0	1	0	0	0	0	1	1	1
"CCIN"	0	0	0	0	1	0	0	0	0	1	1	1
"CCL11"	0	0	0	0	1	0	0	0	0	1	1	1
"CCL23"	0	0	0	0	1	0	0	0	0	1	1	1
"CCNA1"	0	0	0	0	1	0	0	0	0	1	1	1
"CCNDBP1"	0	0	0	0	1	0	0	0	0	1	1	1
"CCNK"	0	0	0	0	1	0	0	0	0	1	1	1
"CCRL2"	0	0	0	0	1	0	0	0	0	1	1	1
"CCT6A"	0	0	0	0	0	0	0	1	0	1	1	1
"CCT8"	0	0	0	0	1	0	0	0	0	1	1	1
"CD19"	0	0	0	0	1	0	0	0	0	1	1	1
"CD207"	0	0	0	0	1	0	0	0	0	1	1	1
"CD248"	0	0	0	0	1	0	0	0	0	1	1	1
"CD55"	1	0	0	0	0	0	0	0	0	1	1	1
"CD70"	0	0	0	0	1	0	0	0	0	1	1	1
"CD84"	0	0	0	0	1	0	0	0	0	1	1	1
"CD99L2"	0	0	0	0	1	0	0	0	0	1	1	1
"CDC34"	0	0	0	0	1	0	0	0	0	1	1	1
"CDC42BPA"	0	0	0	0	1	0	0	0	0	1	1	1
"CDC5L"	0	0	0	0	1	0	0	0	0	1	1	1
"CDCA2"	0	0	0	0	1	0	0	0	0	1	1	1
"CDH16"	0	0	0	0	1	0	0	0	0	1	1	1
"CDH18"	0	0	0	0	1	0	0	0	0	1	1	1
"CDH20"	0	0	0	0	1	0	0	0	0	1	1	1
"CDH24"	0	0	0	0	1	0	0	0	0	1	1	1
"CDH4"	0	0	0	0	1	0	0	0	0	1	1	1
"CDK18"	0	0	0	0	1	0	0	0	0	1	1	1
"CDKN3"	0	0	0	0	1	0	0	0	0	1	1	1
"CDYL"	0	0	0	0	1	0	0	0	0	1	1	1
"CEACAM1"	0	0	0	0	1	0	0	0	0	1	1	1
"CELF1"	0	0	0	0	1	0	0	0	0	1	1	1
"CELSR1"	0	0	0	0	1	0	0	0	0	1	1	1
"CENPC"	0	0	0	0	1	0	0	0	0	1	1	1
"CENPE"	0	0	0	0	1	0	0	0	0	1	1	1
"CENPJ"	0	0	0	0	1	0	0	0	0	1	1	1
"CEP120"	0	0	0	0	1	0	0	0	0	1	1	1
"CEP170"	0	0	0	0	1	0	0	0	0	1	1	1
"CEP290"	0	0	0	0	1	0	0	0	0	1	1	1
"CEP350"	0	0	0	0	1	0	0	0	0	1	1	1
"CEP70"	0	0	0	0	1	0	0	0	0	1	1	1
"CEP72"	0	0	0	0	1	0	0	0	0	1	1	1
"CERS5"	0	0	0	0	1	0	0	0	0	1	1	1
"CFAP36"	0	0	0	0	1	0	0	0	0	1	1	1
"CFAP54"	0	0	0	0	1	0	0	0	0	1	1	1
"CFAP61"	0	0	0	0	1	0	0	0	0	1	1	1
"CFAP69"	0	0	0	0	1	0	0	0	0	1	1	1
"CFHR4"	0	0	0	0	0	1	0	0	0	1	1	1
"CFL1"	0	0	0	0	0	1	0	0	0	1	1	1
"CFTR"	0	0	0	0	0	1	0	0	0	1	1	1
"CHAC2"	0	0	0	0	0	1	0	0	0	1	1	1
"CHAD"	0	0	0	0	1	0	0	0	0	1	1	1
"CHCHD1"	0	0	0	0	1	0	0	0	0	1	1	1
"CHD2"	0	0	0	0	1	0	0	0	0	1	1	1
"CHD6"	0	0	0	0	1	0	0	0	0	1	1	1
"CHD9"	0	0	0	0	1	0	0	0	0	1	1	1
"CHEK2"	0	0	0	0	0	1	0	0	0	1	1	1
"CHKB"	0	0	0	0	0	0	1	0	0	1	1	1
"CHML"	1	0	0	0	0	0	0	0	0	1	1	1
"CHN1"	0	0	0	0	1	0	0	0	0	1	1	1
"CHN2"	0	0	0	0	1	0	0	0	0	1	1	1
"CHORDC1"	0	0	0	0	1	0	0	0	0	1	1	1
"CHP2"	0	0	0	0	1	0	0	0	0	1	1	1
"CHRM5"	1	0	0	0	0	0	0	0	0	1	1	1
"CHRNA4"	0	0	0	0	1	0	0	0	0	1	1	1
"CHRNB4"	0	0	0	0	1	0	0	0	0	1	1	1
"CHST8"	0	0	0	0	1	0	0	0	0	1	1	1
"CHTF18"	0	0	0	0	1	0	0	0	0	1	1	1
"CHURC1"	0	0	0	0	0	1	0	0	0	1	1	1
"CILP"	0	0	0	0	1	0	0	0	0	1	1	1
"CLASRP"	0	0	0	0	1	0	0	0	0	1	1	1
"CLCA4"	0	0	0	0	1	0	0	0	0	1	1	1
"CLCC1"	0	0	0	0	1	0	0	0	0	1	1	1
"CLCN1"	0	0	0	0	1	0	0	0	0	1	1	1
"CLDND1"	0	0	0	0	0	0	0	1	0	1	1	1
"CLEC12A"	0	0	0	0	1	0	0	0	0	1	1	1
"CLEC1A"	0	0	0	0	1	0	0	0	0	1	1	1
"CLEC4F"	0	0	0	0	1	0	0	0	0	1	1	1
"CLECL1"	0	0	0	0	1	0	0	0	0	1	1	1
"CLHC1"	0	0	0	0	1	0	0	0	0	1	1	1
"CLIP2"	0	0	0	0	1	0	0	0	0	1	1	1
"CLK4"	0	0	0	0	0	1	0	0	0	1	1	1
"CLN3"	0	0	0	0	1	0	0	0	0	1	1	1
"CLPB"	0	0	0	0	1	0	0	0	0	1	1	1
"CLTC"	0	0	0	0	1	0	0	0	0	1	1	1
"CLU"	0	0	0	0	1	0	0	0	0	1	1	1
"CLUH"	1	0	0	0	0	0	0	0	0	1	1	1
"CMAS"	0	0	0	0	1	0	0	0	0	1	1	1
"CNBD1"	0	0	0	0	1	0	0	0	0	1	1	1
"CNGB3"	0	0	0	0	1	0	0	0	0	1	1	1
"CNOT11"	0	0	0	0	1	0	0	0	0	1	1	1
"CNOT6L"	0	0	0	0	1	0	0	0	0	1	1	1
"CNR1"	0	0	0	0	1	0	0	0	0	1	1	1
"CNTFR"	0	0	0	0	1	0	0	0	0	1	1	1
"CNTN4"	0	0	0	0	1	0	0	0	0	1	1	1
"CNTN5"	0	0	0	0	1	0	0	0	0	1	1	1
"CNTNAP3"	0	0	0	0	1	0	0	0	0	1	1	1
"CNTNAP4"	0	0	0	0	1	0	0	0	0	1	1	1
"COBLL1"	0	0	0	0	1	0	0	0	0	1	1	1
"COL16A1"	0	0	0	0	1	0	0	0	0	1	1	1
"COL18A1"	1	0	0	0	0	0	0	0	0	1	1	1
"COL19A1"	0	0	0	0	0	1	0	0	0	1	1	1
"COL1A1"	0	0	0	0	1	0	0	0	0	1	1	1
"COL20A1"	0	0	0	0	1	0	0	0	0	1	1	1
"COL21A1"	0	0	0	0	1	0	0	0	0	1	1	1
"COL24A1"	0	0	0	0	1	0	0	0	0	1	1	1
"COL5A3"	0	0	0	0	1	0	0	0	0	1	1	1
"COL6A3"	0	0	0	0	1	0	0	0	0	1	1	1
"COL7A1"	0	0	0	0	1	0	0	0	0	1	1	1
"COL9A2"	0	0	0	0	1	0	0	0	0	1	1	1
"COLEC10"	0	0	0	0	1	0	0	0	0	1	1	1
"COMMD4"	0	0	0	0	1	0	0	0	0	1	1	1
"COPA"	0	0	0	0	1	0	0	0	0	1	1	1
"COPB1"	0	0	0	0	1	0	0	0	0	1	1	1
"COPE"	0	0	0	0	1	0	0	0	0	1	1	1
"COPS7B"	0	0	0	0	1	0	0	0	0	1	1	1
"COQ5"	0	0	0	0	1	0	0	0	0	1	1	1
"COX4I1"	0	1	0	0	0	0	0	0	0	1	1	1
"COX4I2"	0	0	1	0	0	0	0	0	0	1	1	1
"CPA4"	0	0	0	0	1	0	0	0	0	1	1	1
"CPA6"	0	0	1	0	0	0	0	0	0	1	1	1
"CPAMD8"	0	0	0	0	1	0	0	0	0	1	1	1
"CPEB1"	0	0	0	0	0	1	0	0	0	1	1	1
"CPEB2"	0	0	0	0	1	0	0	0	0	1	1	1
"CPNE1"	0	1	0	0	0	0	0	0	0	1	1	1
"CPNE7"	0	0	0	0	0	0	0	1	0	1	1	1
"CPNE8"	0	0	0	0	1	0	0	0	0	1	1	1
"CPPED1"	0	0	0	0	1	0	0	0	0	1	1	1
"CPS1"	0	0	0	0	1	0	0	0	0	1	1	1
"CPT1B"	0	0	0	0	1	0	0	0	0	1	1	1
"CR2"	0	0	0	0	1	0	0	0	0	1	1	1
"CRB1"	1	0	0	0	0	0	0	0	0	1	1	1
"CREBBP"	0	0	0	0	1	0	0	0	0	1	1	1
"CREBRF"	0	0	0	0	1	0	0	0	0	1	1	1
"CRHR2"	0	0	0	0	0	0	0	1	0	1	1	1
"CRISPLD1"	0	0	0	0	1	0	0	0	0	1	1	1
"CRNKL1"	0	0	0	0	1	0	0	0	0	1	1	1
"CRNN"	0	0	0	0	1	0	0	0	0	1	1	1
"CRTAC1"	0	0	0	0	1	0	0	0	0	1	1	1
"CRTAM"	0	0	0	0	1	0	0	0	0	1	1	1
"CRTC2"	0	0	0	0	1	0	0	0	0	1	1	1
"CRYBG3"	0	0	0	0	1	0	0	0	0	1	1	1
"CSF2RB"	0	0	0	0	1	0	0	0	0	1	1	1
"CSMD1"	0	0	0	0	0	1	0	0	0	1	1	1
"CSMD2"	0	0	0	0	1	0	0	0	0	1	1	1
"CSMD3"	0	0	0	0	1	0	0	0	0	1	1	1
"CSPP1"	0	0	0	0	1	0	0	0	0	1	1	1
"CTCF"	0	0	0	0	1	0	0	0	0	1	1	1
"CTDSPL"	0	0	0	0	1	0	0	0	0	1	1	1
"CTNNA3"	0	0	0	0	0	1	0	0	0	1	1	1
"CTNND1"	0	0	0	0	1	0	0	0	0	1	1	1
"CTNND2"	0	0	0	0	1	0	0	0	0	1	1	1
"CTSB"	0	0	0	0	1	0	0	0	0	1	1	1
"CTSO"	0	0	0	0	1	0	0	0	0	1	1	1
"CUL3"	0	0	0	0	1	0	0	0	0	1	1	1
"CUL7"	0	0	0	0	1	0	0	0	0	1	1	1
"CXCL16"	0	0	0	0	1	0	0	0	0	1	1	1
"CXCR2"	0	0	0	0	1	0	0	0	0	1	1	1
"CXorf21"	0	0	0	0	1	0	0	0	0	1	1	1
"CXorf38"	0	0	0	0	1	0	0	0	0	1	1	1
"CXorf58"	0	0	0	0	1	0	0	0	0	1	1	1
"CYB5R1"	0	0	0	0	1	0	0	0	0	1	1	1
"CYGB"	0	0	0	0	1	0	0	0	0	1	1	1
"CYLD"	0	0	0	0	1	0	0	0	0	1	1	1
"CYP2A7"	0	0	0	0	1	0	0	0	0	1	1	1
"CYP4A11"	0	0	0	0	1	0	0	0	0	1	1	1
"CYP4F11"	0	0	0	0	1	0	0	0	0	1	1	1
"CYTIP"	0	0	0	0	1	0	0	0	0	1	1	1
"DAAM2"	0	0	0	0	1	0	0	0	0	1	1	1
"DACH1"	0	0	0	0	1	0	0	0	0	1	1	1
"DAP3"	0	0	0	0	1	0	0	0	0	1	1	1
"DAPK2"	0	0	0	0	1	0	0	0	0	1	1	1
"DARS2"	0	0	0	0	1	0	0	0	0	1	1	1
"DBNL"	0	0	0	0	1	0	0	0	0	1	1	1
"DCAF12"	0	0	0	0	0	1	0	0	0	1	1	1
"DCAF17"	0	0	0	0	1	0	0	0	0	1	1	1
"DCHS2"	0	0	0	0	1	0	0	0	0	1	1	1
"DCLK2"	0	0	0	0	1	0	0	0	0	1	1	1
"DCLRE1B"	0	0	0	0	1	0	0	0	0	1	1	1
"DCP1B"	0	0	0	0	0	1	0	0	0	1	1	1
"DCST1"	0	0	0	0	0	1	0	0	0	1	1	1
"DCTN5"	0	0	0	0	0	1	0	0	0	1	1	1
"DCTPP1"	0	0	0	0	1	0	0	0	0	1	1	1
"DDAH1"	0	0	0	0	0	0	0	1	0	1	1	1
"DDHD1"	0	0	0	0	1	0	0	0	0	1	1	1
"DDIAS"	0	0	0	0	0	1	0	0	0	1	1	1
"DDX43"	0	0	0	0	1	0	0	0	0	1	1	1
"DDX53"	0	0	0	0	1	0	0	0	0	1	1	1
"DEAF1"	0	0	0	0	1	0	0	0	0	1	1	1
"DENND1B"	0	0	0	0	1	0	0	0	0	1	1	1
"DENND4C"	0	0	0	0	0	1	0	0	0	1	1	1
"DHRS13"	0	0	0	0	1	0	0	0	0	1	1	1
"DHX30"	0	0	0	0	0	0	0	1	0	1	1	1
"DHX32"	0	0	0	0	1	0	0	0	0	1	1	1
"DHX58"	0	0	0	0	1	0	0	0	0	1	1	1
"DIABLO"	0	0	0	0	1	0	0	0	0	1	1	1
"DICER1"	0	0	0	0	1	0	0	0	0	1	1	1
"DIDO1"	0	0	0	0	1	0	0	0	0	1	1	1
"DIEXF"	0	0	0	0	1	0	0	0	0	1	1	1
"DIRAS2"	0	0	0	0	1	0	0	0	0	1	1	1
"DISP1"	0	0	0	0	1	0	0	0	0	1	1	1
"DLG5"	0	0	0	0	1	0	0	0	0	1	1	1
"DLGAP2"	0	0	0	0	1	0	0	0	0	1	1	1
"DLGAP5"	1	0	0	0	0	0	0	0	0	1	1	1
"DLX1"	0	0	0	0	1	0	0	0	0	1	1	1
"DMAP1"	0	0	0	0	0	0	0	1	0	1	1	1
"DMRTA2"	0	0	0	0	1	0	0	0	0	1	1	1
"DNAAF3"	0	0	0	0	1	0	0	0	0	1	1	1
"DNAAF5"	0	0	0	0	1	0	0	0	0	1	1	1
"DNAH10"	0	0	0	0	1	0	0	0	0	1	1	1
"DNAH11"	0	0	1	0	0	0	0	0	0	1	1	1
"DNAH12"	0	0	0	0	1	0	0	0	0	1	1	1
"DNAH14"	0	0	0	0	1	0	0	0	0	1	1	1
"DNAH17"	0	0	0	0	1	0	0	0	0	1	1	1
"DNAH2"	0	0	0	0	1	0	0	0	0	1	1	1
"DNAH3"	0	0	0	0	1	0	0	0	0	1	1	1
"DNAI2"	0	0	0	0	1	0	0	0	0	1	1	1
"DNAJA4"	0	0	0	0	1	0	0	0	0	1	1	1
"DNAJC14"	0	0	0	0	1	0	0	0	0	1	1	1
"DNAJC6"	0	0	0	0	0	1	0	0	0	1	1	1
"DNM3"	0	0	0	0	1	0	0	0	0	1	1	1
"DOCK11"	1	0	0	0	0	0	0	0	0	1	1	1
"DOCK2"	0	0	0	0	1	0	0	0	0	1	1	1
"DOCK6"	0	0	0	0	1	0	0	0	0	1	1	1
"DOK2"	0	0	0	0	1	0	0	0	0	1	1	1
"DOK3"	0	0	0	0	1	0	0	0	0	1	1	1
"DOPEY1"	0	0	0	0	0	1	0	0	0	1	1	1
"DPCR1"	0	0	0	0	1	0	0	0	0	1	1	1
"DPEP1"	0	0	0	0	1	0	0	0	0	1	1	1
"DPM1"	0	0	0	0	1	0	0	0	0	1	1	1
"DPP10"	0	0	0	0	0	0	0	1	0	1	1	1
"DPP8"	0	0	0	0	0	0	0	1	0	1	1	1
"DPY19L4"	0	0	0	0	1	0	0	0	0	1	1	1
"DRGX"	0	0	0	0	1	0	0	0	0	1	1	1
"DSCAML1"	0	0	0	0	1	0	0	0	0	1	1	1
