"Hugo_Symbol"	"Frame_Shift_Del"	"Frame_Shift_Ins"	"In_Frame_Del"	"In_Frame_Ins"	"Missense_Mutation"	"Nonsense_Mutation"	"Nonstop_Mutation"	"Splice_Site"	"Translation_Start_Site"	"total"	"MutatedSamples"	"AlteredSamples"
"CNTNAP5"	0	0	0	0	2	0	0	0	0	2	2	2
"COL14A1"	0	0	0	0	2	0	0	0	0	2	2	2
"COL6A6"	0	0	0	0	1	0	0	1	0	2	2	2
"CTAGE6"	0	0	1	0	1	0	0	0	0	2	2	2
"CUBN"	0	0	0	0	2	0	0	0	0	2	2	2
"CUL4A"	0	0	0	0	2	0	0	0	0	2	2	2
"CYFIP1"	0	0	0	0	2	0	0	0	0	2	2	2
"DAB1"	0	0	0	0	1	1	0	0	0	2	2	2
"DCAF8L1"	0	0	0	0	2	0	0	0	0	2	2	2
"DGKI"	0	0	0	0	1	1	0	0	0	2	2	2
"DGKK"	1	0	0	0	1	0	0	0	0	2	2	2
"DHX29"	1	0	0	0	1	0	0	0	0	2	2	2
"DNAH5"	0	0	0	0	2	0	0	0	0	2	2	2
"DNAH6"	0	0	0	0	2	0	0	0	0	2	2	2
"DSCAM"	0	0	0	0	2	0	0	0	0	2	2	2
"DUSP27"	0	0	0	0	2	0	0	0	0	2	2	2
"EGFL6"	0	0	0	0	2	0	0	0	0	2	2	2
"EIF4G3"	0	0	1	0	1	0	0	0	0	2	2	2
"EML5"	0	0	0	0	2	0	0	0	0	2	2	2
"EML6"	0	0	0	0	2	0	0	0	0	2	2	2
"EPB41L1"	0	0	0	0	1	0	0	1	0	2	2	2
"EPHA4"	0	0	0	0	2	0	0	0	0	2	2	2
"ERBB3"	0	0	0	0	2	0	0	0	0	2	2	2
"ERG"	0	0	0	0	2	0	0	0	0	2	2	2
"EVPL"	0	0	0	0	1	1	0	0	0	2	2	2
"EXPH5"	0	0	0	0	2	0	0	0	0	2	2	2
"FAM21A"	0	0	0	0	2	0	0	0	0	2	2	2
"FAM83B"	0	0	0	0	2	0	0	0	0	2	2	2
"FAT2"	0	0	0	0	2	0	0	0	0	2	2	2
"FAT3"	0	0	0	0	2	0	0	0	0	2	2	2
"FBN3"	0	0	0	0	2	0	0	0	0	2	2	2
"FBXW7"	1	0	0	0	1	0	0	0	0	2	2	2
"FMR1"	0	0	0	0	2	0	0	0	0	2	2	2
"FNDC3A"	0	0	0	0	2	0	0	0	0	2	2	2
"FRMD4B"	0	0	0	0	1	1	0	0	0	2	2	2
"FSIP2"	0	0	0	1	1	0	0	0	0	2	2	2
"GALNT7"	0	1	0	0	1	0	0	0	0	2	2	2
"GAS2L2"	0	0	0	0	2	0	0	0	0	2	2	2
"GMEB1"	0	0	0	0	2	0	0	0	0	2	2	2
"GON4L"	0	0	0	0	2	0	0	0	0	2	2	2
"GPR158"	0	0	0	0	2	0	0	0	0	2	2	2
"GPS2"	0	0	0	0	1	1	0	0	0	2	2	2
"GRIP1"	0	0	0	0	2	0	0	0	0	2	2	2
"GRM2"	0	0	0	0	2	0	0	0	0	2	2	2
"GTF3C1"	1	0	0	0	1	0	0	0	0	2	2	2
"HCLS1"	0	0	0	0	1	1	0	0	0	2	2	2
"HERC2"	0	0	0	0	1	1	0	0	0	2	2	2
"HIST1H3B"	0	0	0	0	2	0	0	0	0	2	2	2
"HYDIN"	0	0	0	0	0	1	0	1	0	2	2	2
"IDS"	0	0	0	0	2	0	0	0	0	2	2	2
"IKBKB"	0	0	0	0	2	0	0	0	0	2	2	2
"IKZF1"	0	0	0	0	2	0	0	0	0	2	2	2
"IL1RAPL1"	0	0	0	0	2	0	0	0	0	2	2	2
"IPO8"	0	1	0	0	1	0	0	0	0	2	2	2
"IRS4"	0	0	0	0	2	0	0	0	0	2	2	2
"KAT6B"	0	0	0	0	2	0	0	0	0	2	2	2
"KCNQ1"	0	0	0	0	2	0	0	0	0	2	2	2
"KCNQ3"	0	0	0	0	2	0	0	0	0	2	2	2
"KIAA0100"	0	0	0	0	2	0	0	0	0	2	2	2
"KIAA0319"	0	0	0	0	2	0	0	0	0	2	2	2
"KIAA1549L"	0	0	0	0	2	0	0	0	0	2	2	2
"KIF1A"	0	0	0	0	2	0	0	0	0	2	2	2
"KIF21A"	0	0	0	0	1	1	0	0	0	2	2	2
"KMT2C"	0	0	0	0	2	0	0	0	0	2	2	2
"KMT2D"	0	0	0	0	2	0	0	0	0	2	2	2
"KMT2E"	0	0	0	0	2	0	0	0	0	2	2	2
"KRBA1"	0	0	0	0	2	0	0	0	0	2	2	2
"LCT"	0	0	0	0	2	0	0	0	0	2	2	2
"LGR6"	0	0	0	0	2	0	0	0	0	2	2	2
"LONP2"	0	0	0	0	2	0	0	0	0	2	2	2
"LRBA"	0	0	0	0	2	0	0	0	0	2	2	2
"LRRC42"	0	0	0	0	2	0	0	0	0	2	2	2
"LRRC8A"	0	0	0	0	2	0	0	0	0	2	2	2
"MAN2B1"	0	0	0	0	0	2	0	0	0	2	2	2
"MAP1A"	0	0	0	0	2	0	0	0	0	2	2	2
"MGA"	0	0	0	0	2	0	0	0	0	2	2	2
"MME"	0	0	0	0	2	0	0	0	0	2	2	2
"MRC2"	0	0	0	0	2	0	0	0	0	2	2	2
"MSLN"	0	0	0	0	2	0	0	0	0	2	2	2
"MUC4"	0	0	0	1	1	0	0	0	0	2	2	2
"MUC5B"	0	0	0	0	2	0	0	0	0	2	2	2
"MYH9"	0	0	0	0	2	0	0	0	0	2	2	2
"MYLK"	0	0	0	0	2	0	0	0	0	2	2	2
"MYO10"	0	0	0	0	2	0	0	0	0	2	2	2
"MYO18A"	0	0	0	0	2	0	0	0	0	2	2	2
"MYO18B"	0	0	0	0	2	0	0	0	0	2	2	2
"MYPN"	0	0	0	0	2	0	0	0	0	2	2	2
"NAV1"	0	0	0	0	2	0	0	0	0	2	2	2
"NAV3"	0	0	0	0	2	0	0	0	0	2	2	2
"NCOR1"	0	0	0	0	2	0	0	0	0	2	2	2
"NCOR2"	0	0	0	0	2	0	0	0	0	2	2	2
"NEB"	0	0	0	0	2	0	0	0	0	2	2	2
"NEK8"	0	0	0	0	2	0	0	0	0	2	2	2
"NF1"	0	0	0	0	0	2	0	0	0	2	2	2
"NLRP12"	0	0	0	0	2	0	0	0	0	2	2	2
"NME8"	0	0	0	0	2	0	0	0	0	2	2	2
"NPAS2"	0	0	0	0	2	0	0	0	0	2	2	2
"NRD1"	0	0	0	0	2	0	0	0	0	2	2	2
"OR11H4"	0	0	0	0	2	0	0	0	0	2	2	2
"OR6K3"	0	0	0	0	1	1	0	0	0	2	2	2
"PCDH12"	0	0	0	0	2	0	0	0	0	2	2	2
"PCDH15"	0	0	0	0	2	0	0	0	0	2	2	2
"PCDHB1"	0	0	0	0	2	0	0	0	0	2	2	2
"PCDHGB4"	0	0	0	0	2	0	0	0	0	2	2	2
"PCNT"	0	0	0	0	2	0	0	0	0	2	2	2
"PIK3C3"	0	0	0	0	2	0	0	0	0	2	2	2
"PLA2G4A"	0	0	0	0	2	0	0	0	0	2	2	2
"PLEKHA6"	0	0	0	0	2	0	0	0	0	2	2	2
"PLXNA4"	0	0	0	0	2	0	0	0	0	2	2	2
"PPIG"	0	0	0	0	2	0	0	0	0	2	2	2
"PPP1R3A"	1	0	0	0	1	0	0	0	0	2	2	2
"PPRC1"	0	0	0	0	1	1	0	0	0	2	2	2
"PREX1"	0	0	0	0	2	0	0	0	0	2	2	2
"PRMT9"	0	0	0	0	2	0	0	0	0	2	2	2
"PTK2"	0	0	0	0	1	1	0	0	0	2	2	2
"PTPRZ1"	0	0	0	0	2	0	0	0	0	2	2	2
"PVRL3"	0	0	0	0	2	0	0	0	0	2	2	2
"RBM19"	0	0	0	0	2	0	0	0	0	2	2	2
"RIN1"	0	0	0	0	2	0	0	0	0	2	2	2
"RNF31"	0	0	0	0	1	1	0	0	0	2	2	2
"RREB1"	0	0	0	0	2	0	0	0	0	2	2	2
"SCN11A"	0	0	0	0	2	0	0	0	0	2	2	2
"SCN2A"	0	0	0	0	2	0	0	0	0	2	2	2
"SDR16C5"	0	0	0	0	2	0	0	0	0	2	2	2
