"signature"	"SBS1"	"SBS2"	"SBS3"	"SBS4"	"SBS5"	"SBS6"	"SBS7a"	"SBS7b"	"SBS7c"	"SBS7d"	"SBS8"	"SBS9"	"SBS10a"	"SBS10b"	"SBS11"	"SBS12"	"SBS13"	"SBS14"	"SBS15"	"SBS16"	"SBS17a"	"SBS17b"	"SBS18"	"SBS19"	"SBS20"	"SBS21"	"SBS22"	"SBS23"	"SBS24"	"SBS25"	"SBS26"	"SBS27"	"SBS28"	"SBS29"	"SBS30"	"SBS31"	"SBS32"	"SBS33"	"SBS34"	"SBS35"	"SBS36"	"SBS37"	"SBS38"	"SBS39"	"SBS40"	"SBS41"	"SBS42"	"SBS43"	"SBS44"	"SBS45"	"SBS46"	"SBS47"	"SBS48"	"SBS49"	"SBS50"	"SBS51"	"SBS52"	"SBS53"	"SBS54"	"SBS55"	"SBS56"	"SBS57"	"SBS58"	"SBS59"	"SBS60"	"SBS84"	"SBS85"
"Signature_1"	0.079	0.725	0.284	0.118	0.318	0.104	0.563	0.241	0.075	0.061	0.088	0.098	0.097	0.305	0.204	0.043	0.676	0.054	0.092	0.107	0.006	0.003	0.163	0.183	0.042	0.015	0.015	0.096	0.096	0.236	0.03	0.061	0.016	0.101	0.37	0.1	0.199	0.082	0.01	0.132	0.177	0.052	0.044	0.384	0.458	0.247	0.102	0.006	0.045	0.066	0.117	0.142	0.027	0.013	0.228	0.107	0.127	0.047	0.015	0.046	0.115	0.13	0.312	0.008	0.005	0.067	0.09
"Signature_2"	0.085	0.851	0.185	0.1	0.357	0.187	0.896	0.573	0.068	0.117	0.071	0.09	0.033	0.304	0.553	0.051	0.026	0.037	0.202	0.073	0.017	0.003	0.124	0.269	0.093	0.025	0.011	0.227	0.124	0.174	0.039	0.072	0.015	0.087	0.628	0.18	0.367	0.047	0.011	0.116	0.095	0.061	0.046	0.086	0.404	0.113	0.223	0.01	0.114	0.043	0.137	0.272	0.071	0.024	0.478	0.143	0.067	0.045	0.017	0.066	0.027	0.168	0.502	0.011	0.006	0.161	0.129
"Signature_3"	0.134	0.545	0.329	0.116	0.327	0.148	0.455	0.219	0.079	0.057	0.09	0.11	0.025	0.359	0.154	0.06	0.779	0.024	0.133	0.127	0.025	0.006	0.136	0.167	0.048	0.025	0.035	0.092	0.101	0.263	0.051	0.066	0.02	0.103	0.306	0.11	0.169	0.087	0.037	0.145	0.123	0.072	0.053	0.459	0.441	0.293	0.091	0.014	0.057	0.062	0.132	0.133	0.023	0.018	0.183	0.111	0.107	0.068	0.028	0.045	0.05	0.128	0.25	0.009	0.006	0.066	0.096
"Signature_4"	0.282	0.012	0.795	0.72	0.602	0.335	0.072	0.201	0.182	0.158	0.745	0.36	0.221	0.09	0.235	0.213	0.206	0.535	0.269	0.23	0.116	0.098	0.591	0.326	0.467	0.182	0.238	0.3	0.621	0.628	0.205	0.123	0.095	0.697	0.315	0.433	0.432	0.136	0.082	0.655	0.486	0.285	0.349	0.626	0.72	0.263	0.484	0.16	0.473	0.439	0.317	0.192	0.05	0.14	0.38	0.334	0.192	0.259	0.149	0.153	0.292	0.272	0.308	0.416	0.063	0.378	0.215
"Signature_5"	0.782	0.045	0.403	0.277	0.595	0.822	0.175	0.295	0.113	0.124	0.288	0.283	0.108	0.352	0.251	0.257	0.041	0.189	0.692	0.286	0.05	0.035	0.344	0.262	0.267	0.126	0.104	0.328	0.349	0.448	0.275	0.137	0.035	0.358	0.316	0.321	0.339	0.108	0.124	0.27	0.245	0.275	0.114	0.321	0.404	0.255	0.359	0.059	0.455	0.149	0.265	0.152	0.048	0.093	0.218	0.218	0.166	0.156	0.271	0.063	0.158	0.239	0.237	0.086	0.017	0.308	0.199
